Long                , Lat
-52.885659          , -18.24862
-52.880679          , -18.238075
-52.877465          , -18.227116
-52.96755           , -18.018921
-52.959619000000004 , -18.02741
-52.874997          , -18.216742
-52.873028          , -18.205045
-52.873082          , -18.192233
-52.934648          , -18.069771
-52.942606          , -18.059212
-52.948309          , -18.048673
-52.954226          , -18.038194
-52.924126          , -17.99582
-52.915616          , -17.986965
-52.920952          , -17.97621
-52.917204          , -17.964422
-52.904695          , -17.96411
-52.892212          , -17.962395
-52.881801          , -17.954862
-52.888115          , -17.943374
