plot           , Pouteria torta , Stryphnodendron adstringens , Pouteria ramiflora , Psidium laruotteanum , Piptocarpha rotundifolia , Leptolobium dasycarpum , Diospyros hispida , Eremanthus glomerulatus , Palicourea rigida , Anadenanthera falcata , Handroanthus ochraceus , Kielmeyera coriacea , Annona crassiflora , Connarus suberosus , Ouratea spectabilis , Miconia albicans , Erythroxylum suberosum , Erythroxylum engleri , Eriotheca pubescens , Casearia sylvestris , Aspidosperma tomentosum , Ouratea hexasperma , Plathymenia reticulata , Eriotheca gracilipes , Myrcia bella , Dimorphandra mollis , Guapira noxia , Tabebuia aurea , Byrsonima coccolobifolia , Davilla elliptica , Erythroxylum tortuosum , Myrcia camapuanensis , Stryphnodendron rotundifolium , Himatanthus obovatus , Myrcia guianensis , Caryocar brasiliense , Kielmeyera grandiflora , Machaerium acutifolium , Hymenaea stigonocarpa , Qualea parviflora , Schefflera macrocarpa , Solanum , Cybistax antisyphilitica , Eugenia aurata , Eugenia punicifolia , Myrcia variabilis , Vochysia cinnamomea , Agonandra brasiliensis , Hancornia speciosa , Lafoensia pacari , Miconia ferruginata , Miconia ligustroides , Plenckia populnea , Asteraceae , Bowdichia virgilioides , Cipo escandente , Pterodon pubescens , Rourea induta , Schefflera vinosa
beta01burned   , 11             , 7                           , 11                 , 1                    , 2                        , 0                      , 1                 , 3                       , 0                 , 3                     , 5                      , 7                   , 1                  , 0                  , 2                   , 0                , 0                      , 0                    , 0                   , 0                   , 1                       , 0                  , 0                      , 1                    , 1            , 0                   , 1             , 1              , 0                        , 0                 , 0                      , 1                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta01unburned , 6              , 3                           , 1                  , 1                    , 0                        , 1                      , 3                 , 1                       , 0                 , 11                    , 8                      , 9                   , 0                  , 0                  , 4                   , 0                , 2                      , 1                    , 0                   , 0                   , 4                       , 0                  , 0                      , 4                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 1              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta02burned   , 9              , 7                           , 11                 , 1                    , 0                        , 0                      , 2                 , 5                       , 0                 , 0                     , 2                      , 1                   , 3                  , 0                  , 13                  , 0                , 2                      , 0                    , 0                   , 0                   , 0                       , 1                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 2                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 1                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta02unburned , 7              , 4                           , 5                  , 4                    , 0                        , 0                      , 0                 , 5                       , 0                 , 1                     , 12                     , 3                   , 0                  , 0                  , 8                   , 0                , 0                      , 0                    , 0                   , 0                   , 2                       , 2                  , 0                      , 0                    , 2            , 0                   , 0             , 0              , 0                        , 0                 , 1                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 1       , 0                        , 0              , 2                   , 0                 , 1                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta03burned   , 6              , 6                           , 12                 , 0                    , 0                        , 2                      , 0                 , 4                       , 1                 , 0                     , 3                      , 6                   , 1                  , 0                  , 8                   , 0                , 1                      , 0                    , 0                   , 0                   , 0                       , 5                  , 0                      , 0                    , 1            , 0                   , 0             , 0              , 2                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 1                        , 0              , 0                   , 1                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta03unburned , 3              , 3                           , 3                  , 3                    , 0                        , 0                      , 1                 , 2                       , 0                 , 0                     , 9                      , 7                   , 1                  , 0                  , 9                   , 1                , 2                      , 0                    , 0                   , 0                   , 1                       , 7                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 2                        , 0                 , 2                      , 0                    , 0                             , 0                    , 1                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 1                 , 0                   , 1                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 1                  , 0             , 0
beta04burned   , 7              , 6                           , 3                  , 14                   , 6                        , 0                      , 1                 , 0                       , 4                 , 4                     , 0                      , 0                   , 2                  , 2                  , 0                   , 0                , 5                      , 2                    , 1                   , 2                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 1                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta04unburned , 9              , 2                           , 2                  , 19                   , 4                        , 2                      , 1                 , 0                       , 3                 , 2                     , 0                      , 0                   , 2                  , 2                  , 1                   , 2                , 1                      , 0                    , 0                   , 0                   , 2                       , 0                  , 1                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 1                    , 2                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 2                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta05burned   , 9              , 7                           , 5                  , 8                    , 10                       , 0                      , 2                 , 0                       , 6                 , 2                     , 1                      , 0                   , 5                  , 4                  , 0                   , 0                , 0                      , 0                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 1                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
beta05unburned , 6              , 7                           , 10                 , 10                   , 5                        , 4                      , 2                 , 3                       , 1                 , 3                     , 2                      , 0                   , 4                  , 1                  , 0                   , 0                , 0                      , 0                    , 0                   , 0                   , 0                       , 0                  , 0                      , 0                    , 0            , 0                   , 0             , 0              , 0                        , 0                 , 0                      , 0                    , 0                             , 1                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 1                      , 0               , 0                  , 0             , 0
beta06burned   , 5              , 2                           , 18                 , 0                    , 10                       , 0                      , 1                 , 3                       , 5                 , 2                     , 3                      , 3                   , 2                  , 0                  , 1                   , 0                , 1                      , 0                    , 0                   , 0                   , 0                       , 0                  , 1                      , 1                    , 0            , 0                   , 0             , 0              , 2                        , 0                 , 0                      , 0                    , 0                             , 0                    , 0                 , 0                    , 0                      , 0                      , 0                     , 0                 , 0                     , 0       , 0                        , 0              , 0                   , 0                 , 0                   , 0                      , 0                  , 0                , 0                   , 0                    , 0                 , 0          , 0                      , 0               , 0                  , 0             , 0
